metric,m5out-rv-random-euclidean-4096-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top1,m5out-rv-random-euclidean-4096-1000-100-top50,m5out-rv-random-euclidean-4096-1000-100-top5,m5out-rv-random-euclidean-128-1000-100-top1,m5out-rv-random-euclidean-2048-1000-100-top1,m5out-rv-random-euclidean-128-1000-100-top5,m5out-rv-random-euclidean-3072-1000-100-top50,m5out-rv-random-euclidean-2048-1000-100-top100,m5out-rv-random-euclidean-16-1000-100-top5,m5out-rv-random-euclidean-64-1000-100-top100,m5out-rv-random-euclidean-1024-1000-100-top100,m5out-rv-random-euclidean-64-1000-100-top10,m5out-rv-random-euclidean-128-1000-100-top100,m5out-rv-random-euclidean-8-1000-100-top50,m5out-rv-random-euclidean-2048-1000-100-top5,m5out-rv-random-euclidean-3072-1000-100-top5,m5out-rv-random-euclidean-32-1000-100-top50,m5out-rv-random-euclidean-64-1000-100-top50,m5out-rv-random-euclidean-128-1000-100-top50,m5out-rv-random-euclidean-8-1000-100-top1,m5out-rv-random-euclidean-8-1000-100-top10,m5out-rv-random-euclidean-16-1000-100-top50,m5out-rv-random-euclidean-3072-1000-100-top10,m5out-rv-random-euclidean-2048-1000-100-top10,m5out-rv-random-euclidean-256-1000-100-top100,m5out-rv-random-euclidean-4096-1000-100-top1,m5out-rv-random-euclidean-16-1000-100-top10,m5out-rv-random-euclidean-512-1000-100-top100,m5out-rv-random-euclidean-128-1000-100-top10,m5out-rv-random-euclidean-16-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top100,m5out-rv-random-euclidean-256-1000-100-top10,m5out-rv-random-euclidean-4096-1000-100-top10,m5out-rv-random-euclidean-256-1000-100-top1,m5out-rv-random-euclidean-8-1000-100-top5,m5out-rv-random-euclidean-256-1000-100-top50,m5out-rv-random-euclidean-64-1000-100-top5,m5out-rv-random-euclidean-64-1000-100-top1,m5out-rv-random-euclidean-32-1000-100-top10,m5out-rv-random-euclidean-3072-1000-100-top100,m5out-rv-random-euclidean-32-1000-100-top5,m5out-rv-random-euclidean-2048-1000-100-top50,m5out-rv-random-euclidean-256-1000-100-top5,m5out-rv-random-euclidean-8-1000-100-top100,m5out-rv-random-euclidean-3072-1000-100-top1,m5out-rv-random-euclidean-16-1000-100-top1
SimSecond,17.019029,0.209361,16.645407,16.113382,0.566976,8.143565,0.567011,12.436069,8.595094,0.154452,0.345041,4.307342,0.325298,0.600970,0.133855,8.143578,12.030556,0.215533,0.335693,0.585805,0.131150,0.131188,0.158385,12.030461,8.143560,1.126086,16.113319,0.154474,2.206036,0.567029,0.162640,0.221620,1.062040,16.113460,1.062006,0.131179,1.097232,0.325289,0.325256,0.209409,12.717982,0.209389,8.407589,1.062047,0.137019,12.030543,0.154424
SimTick,17019029304977,209361232829,16645406945391,16113381971372,566976023838,8143564690632,567011257239,12436069232573,8595093986640,154451747912,345040774295,4307342147024,325297818804,600969855864,133854855799,8143577648780,12030556464255,215533138912,335692594230,585804907604,131149570013,131187919667,158384724925,12030461461438,8143560487314,1126085708804,16113319094033,154473955692,2206036214907,567028974316,162639582301,221620441350,1062040200592,16113459936007,1062005818517,131178687528,1097231552585,325289452152,325256180466,209408584714,12717982358032,209388830952,8407588737919,1062047455189,137018991305,12030543237881,154423820754
SimIns,32192559874,416095115,31495341572,30495970654,1109088246,15440696204,1109168845,23564942379,16285145080,300607846,678134295,8185335575,641365695,1172959326,257823762,15440776868,22802851762,427929523,661317702,1145031841,253071816,253203322,307835928,22802902701,15440827733,2177165866,30495889990,300658761,4231989426,1109219770,315132093,438729994,2060215433,30496021473,2060083829,253152416,2127351134,641314853,641234261,416226630,24091535966,416175714,15935781110,2060164532,263016451,22802771215,300527246
SimOp,32192564871,416100128,31495346569,30495975651,1109093329,15440701193,1109173928,23564947420,16285150069,300613971,678139350,8185340520,641370750,1172964409,257830017,15440781857,22802856803,427934536,661322757,1145036924,253078071,253209577,307842053,22802907742,15440832722,2177171141,30495894987,300664886,4231994623,1109224853,315138218,438735007,2060220708,30496026470,2060089104,253158671,2127356409,641319908,641239316,416231643,24091541007,416180727,15935786099,2060169807,263022706,22802776256,300533371
HstInsRate,384171,124229,395452,385334,199888,342981,180825,376617,346851,111547,146353,470841,143704,170828,104956,342671,371194,122221,144037,186791,106873,104840,110100,367953,334086,232395,384059,101120,465953,167491,110726,125210,220781,387252,226809,102522,215601,142531,143787,122574,372015,124919,340180,200579,106316,366970,108745
HstOpRate,384171,124230,395452,385334,199889,342981,180826,376617,346851,111549,146354,470841,143705,170828,104959,342671,371194,122223,144038,186791,106876,104842,110102,367953,334087,232396,384059,101122,465954,167492,110728,125211,220781,387252,226810,102525,215602,142532,143788,122576,372015,124920,340181,200579,106318,366970,108747
CPU_CPI,0.634650,0.604030,0.634458,0.634307,0.613696,0.633144,0.613690,0.633537,0.633598,0.616804,0.610815,0.631725,0.608878,0.615070,0.623256,0.633142,0.633361,0.604640,0.609378,0.614173,0.622126,0.621984,0.617659,0.633355,0.633139,0.620919,0.634306,0.616789,0.625782,0.613681,0.619567,0.606412,0.618847,0.634309,0.618867,0.622066,0.619176,0.608911,0.608925,0.603976,0.633737,0.603993,0.633364,0.618867,0.625393,0.633363,0.616858
CPU_IPC,1.575672,1.655546,1.576148,1.576525,1.629470,1.579419,1.629487,1.578441,1.578287,1.621259,1.637157,1.582968,1.642365,1.625830,1.604478,1.579425,1.578878,1.653877,1.641018,1.628207,1.607392,1.607758,1.619016,1.578894,1.579433,1.610516,1.576527,1.621301,1.598001,1.629511,1.614029,1.649045,1.615908,1.576520,1.615857,1.607547,1.615050,1.642277,1.642238,1.655695,1.577943,1.655649,1.578872,1.615857,1.598995,1.578874,1.621118
L1i_TotHits,128702405,85879759,125023416,122674211,93379326,109071854,93399549,115877263,114058508,81790522,93947512,108744282,89986205,97542563,80991991,109083306,113676510,87520125,91671146,95186172,79585080,79613240,83301714,113685388,109094288,100952594,122652607,81802185,106181167,93406350,85237405,89634964,96157687,122653275,96154395,79605247,97983311,89981856,89962994,85908029,119013119,85898609,111192299,96173974,82721104,113659952,81773975
L1i_TotMisses,8744,3279,8561,8740,3281,8758,3288,8999,12806,3063,4036,7044,4017,3328,2993,8757,8948,3306,4047,3292,2953,2972,3072,8972,8747,4172,8740,3057,5540,3289,3093,3326,3386,8500,3399,2957,3383,4003,4000,3297,8603,3286,8781,3398,3016,8948,3057
L1i_TotMissRate,0.000068,0.000038,0.000068,0.000071,0.000035,0.000080,0.000035,0.000078,0.000112,0.000037,0.000043,0.000065,0.000045,0.000034,0.000037,0.000080,0.000079,0.000038,0.000044,0.000035,0.000037,0.000037,0.000037,0.000079,0.000080,0.000041,0.000071,0.000037,0.000052,0.000035,0.000036,0.000037,0.000035,0.000069,0.000035,0.000037,0.000035,0.000044,0.000044,0.000038,0.000072,0.000038,0.000079,0.000035,0.000036,0.000079,0.000037
L1i_TotAvgMissLat,54057.832228,49578.107350,52367.978741,52322.979291,48844.113990,52674.932861,48697.818431,51944.339704,48556.627675,51442.577212,43591.740337,45253.635576,42876.585761,48773.551683,53021.994654,52498.690647,54103.201051,47609.502722,42809.037064,48677.615128,52785.627497,52905.029610,50913.871094,51909.863798,52536.710987,43696.560403,52344.519108,51090.939156,38779.608303,48640.716327,51113.020045,47381.570956,49161.268754,52410.008000,49909.419241,52739.294893,49085.195980,43472.278541,43493.220750,48059.072187,53223.790887,49343.969264,52563.144289,49843.209535,52236.501989,53946.990277,51101.838731
L1d_TotHits,7856988923,119268327,7691424835,7447513337,297159486,3852970056,297191544,5856783101,4063813834,93292196,190841252,2055305748,180157429,314662102,85177909,3852999002,5667618939,122569670,185800834,306844622,83338513,83398168,95667964,5667641676,3853016071,565971504,7447473378,93317470,1076911703,297210302,98191150,125886752,534946292,7447509356,534883325,83371978,552417618,180129508,180095622,119323548,5988289124,119300885,3976354523,534918404,87166231,5667597986,93256082
L1d_TotMisses,239792848,12975094,229163695,221520748,10956655,45079220,10959887,75751899,48245703,9355602,10882293,29350507,10171570,11741155,6385559,45083246,72963178,13576253,10517245,11354954,6227144,6228274,9722523,72972576,45084167,13284086,221517128,9359431,17697807,10966363,10064324,14069464,12435975,221544647,12429840,6227370,12880031,10174882,10172238,12982343,77602914,12976149,46827209,12433696,6579239,72960148,9355157
L1d_TotMissRate,0.029616,0.098115,0.028933,0.028885,0.035560,0.011565,0.035567,0.012769,0.011733,0.091143,0.053947,0.014079,0.053442,0.035971,0.069739,0.011565,0.012710,0.099718,0.053572,0.035685,0.069526,0.069491,0.092252,0.012712,0.011566,0.022933,0.028885,0.091154,0.016168,0.035585,0.092968,0.100528,0.022719,0.028888,0.022711,0.069502,0.022785,0.053466,0.053463,0.098124,0.012793,0.098098,0.011639,0.022716,0.070182,0.012710,0.091171
L1d_TotAvgMissLat,35080.336465,24475.287026,35208.514223,34904.856854,25073.235415,52659.635628,25074.835236,52610.024481,54090.428789,25616.784285,24995.661293,40424.722044,25052.408194,25012.799606,26358.189630,52652.194524,51917.820276,24409.441112,25010.398401,25026.828652,26371.569784,26369.613209,25575.089591,51894.590251,52642.131389,25026.979279,34904.182388,25615.994124,24826.099885,25068.672749,25560.036143,24389.097028,25113.318074,34909.595010,25104.156915,26371.267232,25072.896300,25066.402418,25065.130141,24470.025519,53231.843516,24475.339145,53492.398138,25105.192567,26354.595742,51920.463033,25616.756312
L1d_ReadReqHits,7827254378,93769687,7662338279,7418981152,269257640,3823173088,269274835,5826247919,4032604190,69390938,162736352,2024420756,153374582,285371002,61439536,3823187468,5637720149,96474770,158413624,278292475,60081118,60116161,71232631,5637733446,3823194371,535861599,7418958446,69409049,1046144769,269283907,73130777,99107366,506238253,7418971620,506201981,60100180,523070258,153360565,153341751,93801149,5957010105,93787731,3945904224,506222796,62882735,5637714129,69369294
L1d_ReadReqMisses,233865297,12167523,223410096,215920616,9941507,42442459,9945202,72399362,45496752,8571851,9932525,27392448,9274563,10666482,5552616,42446645,69676579,12740713,9593224,10310037,5407264,5407906,8916220,69684715,42447035,12034409,215914149,8572142,16212000,9950661,9244933,13213294,11245678,215939375,11237957,5407493,11659731,9274665,9271348,12173430,74178161,12168692,44136900,11241668,5740437,69673011,8571336
L1d_ReadReqMissRate,0.029012,0.114856,0.028331,0.028281,0.035607,0.010979,0.035618,0.012274,0.011156,0.109948,0.057524,0.013350,0.057022,0.036031,0.082885,0.010981,0.012208,0.116657,0.057100,0.035724,0.082568,0.082533,0.111246,0.012209,0.010981,0.021965,0.028280,0.109926,0.015260,0.035635,0.112229,0.117639,0.021731,0.028283,0.021718,0.082547,0.021805,0.057027,0.057015,0.114871,0.012299,0.114846,0.011062,0.021725,0.083652,0.012208,0.109973
L1d_ReadReqAvgMissLat,35058.223778,23967.198973,35185.670350,34867.300026,24453.946465,53535.658631,24455.843003,53226.048404,55028.470148,25001.125291,24391.971160,40753.047587,24422.635604,24425.254879,25498.748416,53527.270493,52502.366737,23923.338008,24395.372758,24429.649859,25487.678180,25486.826748,24978.919299,52481.286901,53512.698200,24395.305559,34866.793964,25000.840287,24149.548576,24456.775529,24980.315505,23918.327894,24446.257125,34873.135973,24445.388476,25487.326522,24422.698767,24421.186848,24419.658105,23968.245501,53871.432526,23967.301747,54406.650579,24446.686936,25526.939220,52505.422869,25001.017308
L1d_WriteReqHits,29734545,25498640,29086556,28532185,27901846,29796968,27916709,30535182,31209644,23901258,28104900,30884992,26782847,29291100,23738373,29811534,29898790,26094900,27387210,28552147,23257395,23282007,24435333,29908230,29821700,30109905,28514932,23908421,30766934,27926395,25060373,26779386,28708039,28537736,28681344,23271798,29347360,26768943,26753871,25522399,31279019,25513154,30450299,28695608,24283496,29883857,23886788
L1d_WriteReqMisses,5927551,807571,5753599,5600132,1015148,2636761,1014685,3352537,2748951,783751,949768,1958059,897007,1074673,832943,2636601,3286599,835540,924021,1044917,819880,820368,806303,3287861,2637132,1249677,5602979,787289,1485807,1015702,819391,856170,1190297,5605272,1191883,819877,1220300,900217,900890,808913,3424753,807457,2690309,1192028,838802,3287137,783821
L1d_WriteReqMissRate,0.166214,0.030699,0.165143,0.164071,0.035106,0.081297,0.035072,0.098931,0.080950,0.031750,0.032689,0.059619,0.032406,0.035391,0.033899,0.081256,0.099038,0.031026,0.032638,0.035305,0.034052,0.034037,0.031943,0.099044,0.081245,0.039850,0.164224,0.031880,0.046068,0.035094,0.031661,0.030981,0.039811,0.164170,0.039898,0.034032,0.039921,0.032535,0.032576,0.030721,0.098685,0.030678,0.081179,0.039884,0.033389,0.099097,0.031771
L1d_WriteReqAvgMissLat,35952.769298,32130.555820,36095.533289,36352.910814,31138.031322,38558.785990,31141.745449,39306.744308,38565.293895,32350.220242,31308.958158,35831.581409,31563.913189,30844.373726,32087.449656,38564.344665,39525.314312,31821.773418,31395.619907,30919.100912,32201.002449,32188.984754,32167.630452,39459.822216,38629.567785,31110.007060,36344.967656,32313.897998,32208.115067,31063.326494,32100.843224,31654.489388,31415.570907,36314.155162,31315.514404,32201.291980,31285.408251,31713.864379,31707.889934,32021.373970,39378.717030,32131.660926,38493.277748,31315.366899,32018.757393,39521.858088,32350.061356
L2_TotHits,377331174,2568299,370021421,358771530,8837675,124656316,8838152,193593417,130856348,1804967,6573991,62661565,6079969,9567614,1432160,124656936,188001016,2669618,6355556,9256206,1399106,1399132,1868035,188003245,124657835,15220128,358771836,1805089,29256403,8839456,1926174,2754003,14035415,358776978,14034826,1399170,14719389,6078319,6078034,2566713,197367376,2568367,128293937,14035564,1474227,188000418,1804905
L2_TotMisses,18010006,29333,17335786,16401399,37902,8004601,37899,13231291,8912148,29375,31768,3272407,30288,37722,29728,8004773,12464785,28930,30301,37737,29536,29716,29240,12464105,8004785,53176,16401256,29251,140657,37745,29352,29037,53055,16398753,52438,29550,53082,30692,30693,28950,13769949,29337,8528531,52433,29726,12464678,29360
L2_TotMissRate,0.045556,0.011292,0.044754,0.043717,0.004270,0.060339,0.004270,0.063973,0.063764,0.016014,0.004809,0.049632,0.004957,0.003927,0.020335,0.060340,0.062179,0.010721,0.004745,0.004060,0.020674,0.020797,0.015412,0.062175,0.060339,0.003482,0.043717,0.015946,0.004785,0.004252,0.015010,0.010434,0.003766,0.043710,0.003722,0.020683,0.003593,0.005024,0.005024,0.011153,0.065218,0.011293,0.062333,0.003722,0.019765,0.062179,0.016006
L2_TotAvgMissLat,83201.748071,80811.346845,83197.115547,83059.276966,77077.028389,82554.213829,77138.078788,83168.173479,82744.901042,81608.575489,81310.722205,81194.883588,79653.546949,76740.225280,81062.388186,82543.026996,83137.272179,80673.949533,79686.863239,75949.700586,81479.025257,81029.164087,81639.598119,83080.583764,82525.569206,73045.220946,83058.459002,81598.388568,70094.168410,75950.442045,81872.716067,80519.187209,73200.996287,83082.408995,73417.290762,81452.769374,73247.105968,80657.443927,80625.749324,80682.179413,83258.321322,80795.558851,82632.188284,73404.496996,81046.349357,83142.074136,81588.390668
