workload_type,M,ef,Recall,QPS
X86-AVX2,8,100,91.539,5030.151122948146
X86-AVX2,8,128,91.949,5022.107183661764
X86-AVX2,8,200,92.321,4954.332139730419
X86-AVX2,8,256,92.449,5096.296534719526
X86-AVX2,8,300,92.48,5005.964343042928
X86-AVX2,8,400,92.54,4993.400170432632
X86-AVX2,8,512,92.541,4803.750971021372
X86-AVX2,16,100,95.234,3628.8004522631295
X86-AVX2,16,128,95.712,3353.378595119687
X86-AVX2,16,200,96.171,3089.5150396372587
X86-AVX2,16,256,96.329,3049.3028130219673
X86-AVX2,16,300,96.39,2932.876113383447
X86-AVX2,16,400,96.442,2772.137248515174
X86-AVX2,16,512,96.469,2884.975276521084
X86-AVX2,32,100,96.156,3221.937664832847
X86-AVX2,32,128,96.849,2924.308506851924
X86-AVX2,32,200,97.557,2473.086473746397
X86-AVX2,32,256,97.816,2240.99084820619
X86-AVX2,32,300,97.92,2211.9045283797536
X86-AVX2,32,400,98.067,2030.5284610624792
X86-AVX2,32,512,98.139,1857.3092818298214
X86-AVX2,64,100,96.391,2958.063993822317
X86-AVX2,64,128,97.059,2646.3851423581104
X86-AVX2,64,200,97.879,2234.374081260657
X86-AVX2,64,256,98.179,2043.6392266869166
X86-AVX2,64,300,98.319,1920.5751212742105
X86-AVX2,64,400,98.546,1697.6931254374076
X86-AVX2,64,512,98.69,1591.8340588396327
X86-AVX2,128,100,97.076,2605.125378514434
X86-AVX2,128,128,97.076,2615.9943962646353
X86-AVX2,128,200,97.896,2155.5746279790183
X86-AVX2,128,256,98.214,1956.3421652743602
X86-AVX2,128,300,98.366,1842.3813651851985
X86-AVX2,128,400,98.599,1671.0961709249937
X86-AVX2,128,512,98.751,1534.3098946635691
X86-AVX512,8,100,91.539,5365.579524948533
X86-AVX512,8,128,91.949,5231.324344174335
X86-AVX512,8,200,92.321,5102.880105817619
X86-AVX512,8,256,92.449,5179.9380997397075
X86-AVX512,8,300,92.48,5225.163286352699
X86-AVX512,8,400,92.54,5099.551977519028
X86-AVX512,8,512,92.541,4992.711298439975
X86-AVX512,16,100,95.234,3956.9422208338215
X86-AVX512,16,128,95.712,3621.0788718624062
X86-AVX512,16,200,96.171,3331.3082485822215
X86-AVX512,16,256,96.329,3200.6576509194306
X86-AVX512,16,300,96.39,3109.6054074401404
X86-AVX512,16,400,96.442,3123.620572165088
X86-AVX512,16,512,96.469,2987.8430171553296
X86-AVX512,32,100,96.156,3438.542166706858
X86-AVX512,32,128,96.849,3082.021514132285
X86-AVX512,32,200,97.557,2576.4921533948504
X86-AVX512,32,256,97.816,2412.758923160295
X86-AVX512,32,300,97.92,2281.2697547454914
X86-AVX512,32,400,98.067,2178.1060221765583
X86-AVX512,32,512,98.139,2014.7703877531653
X86-AVX512,64,100,96.391,3099.2856146658196
X86-AVX512,64,128,97.059,2788.2428603556255
X86-AVX512,64,200,97.879,2324.7597620791917
X86-AVX512,64,256,98.179,2147.0594467084306
X86-AVX512,64,300,98.319,2061.2701709525263
X86-AVX512,64,400,98.546,1842.43719531604
X86-AVX512,64,512,98.69,1731.277881262129
X86-AVX512,128,100,97.076,2834.0834331788383
X86-AVX512,128,128,97.076,2794.7505758657107
X86-AVX512,128,200,97.896,2349.3473296730917
X86-AVX512,128,256,98.214,2165.8758844824397
X86-AVX512,128,300,98.366,1986.0464557171745
X86-AVX512,128,400,98.599,1801.6612739309808
X86-AVX512,128,512,98.751,1628.7573395877614
X86-BASE,8,100,91.539,3986.063463375157
X86-BASE,8,128,91.949,3871.723681194121
X86-BASE,8,200,92.321,3829.1108149708157
X86-BASE,8,256,92.449,3797.858008083441
X86-BASE,8,300,92.48,3811.168629669246
X86-BASE,8,400,92.54,3729.695244638563
X86-BASE,8,512,92.541,3732.6627637420925
X86-BASE,16,100,95.234,2879.3615697673094
X86-BASE,16,128,95.712,2551.6122328319307
X86-BASE,16,200,96.171,2347.610719190544
X86-BASE,16,256,96.329,2288.4087579812017
X86-BASE,16,300,96.39,2226.310300786239
X86-BASE,16,400,96.442,2164.8301690732364
X86-BASE,16,512,96.469,2048.0609847885657
X86-BASE,32,100,96.156,2362.3165746658333
X86-BASE,32,128,96.849,2184.6852414738346
X86-BASE,32,200,97.557,1869.0839496596666
X86-BASE,32,256,97.816,1700.9299610755604
X86-BASE,32,300,97.92,1636.2323854739595
X86-BASE,32,400,98.067,1495.1988378370295
X86-BASE,32,512,98.139,1403.34679746105
X86-BASE,64,100,96.391,2254.3399752319224
X86-BASE,64,128,97.059,2025.6748962374688
X86-BASE,64,200,97.879,1697.7196720809775
X86-BASE,64,256,98.179,1543.9908384459407
X86-BASE,64,300,98.319,1441.12765963902
X86-BASE,64,400,98.546,1315.2457052035966
X86-BASE,64,512,98.69,1204.9442031561293
X86-BASE,128,100,97.076,2020.4496085245958
X86-BASE,128,128,97.076,2003.5119455445454
X86-BASE,128,200,97.896,1636.5501952555119
X86-BASE,128,256,98.214,1508.6929498182917
X86-BASE,128,300,98.366,1416.0254959116921
X86-BASE,128,400,98.599,1269.8092328831804
X86-BASE,128,512,98.751,1157.7729141159482
RISCV-BASE,8,100,91.539,183.23112612716977
RISCV-BASE,8,128,91.949,180.3930679501285
RISCV-BASE,8,200,92.321,175.55985518067547
RISCV-BASE,8,256,92.449,174.67260951915156
RISCV-BASE,8,300,92.48,173.32555709741817
RISCV-BASE,8,400,92.54,173.10549249150372
RISCV-BASE,8,512,92.541,172.64666635302524
RISCV-BASE,16,100,95.234,126.1452348264088
RISCV-BASE,16,128,95.712,117.43036707573896
RISCV-BASE,16,200,96.171,106.74582937373023
RISCV-BASE,16,256,96.329,102.46109252348553
RISCV-BASE,16,300,96.39,100.05922584571934
RISCV-BASE,16,400,96.442,97.37041333625156
RISCV-BASE,16,512,96.469,94.99289096952208
RISCV-BASE,32,100,96.156,105.78415511475855
RISCV-BASE,32,128,96.849,95.9486212303065
RISCV-BASE,32,200,97.557,81.34964280923907
RISCV-BASE,32,256,97.816,74.7849406509663
RISCV-BASE,32,300,97.92,71.2511079547287
RISCV-BASE,32,400,98.067,65.89100469528896
RISCV-BASE,32,512,98.139,61.765322316523694
RISCV-BASE,64,100,96.391,98.0765991660495
RISCV-BASE,64,128,97.059,87.67987165143504
RISCV-BASE,64,200,97.879,72.67887763615852
RISCV-BASE,64,256,98.179,66.07830658411028
RISCV-BASE,64,300,98.319,62.38840581746929
RISCV-BASE,64,400,98.546,56.383499852479254
RISCV-BASE,64,512,98.69,52.23678353874887
RISCV-BASE,128,100,97.076,87.76884347410702
RISCV-BASE,128,128,97.076,87.70714639213652
RISCV-BASE,128,200,97.896,72.15559670850853
RISCV-BASE,128,256,98.214,65.23460066222906
RISCV-BASE,128,300,98.366,61.40025081679299
RISCV-BASE,128,400,98.599,55.06028387474026
RISCV-BASE,128,512,98.751,50.6363304410994
C910-RV,8,100,91.539,911.671397161607
C910-RV,8,128,91.949,893.691408826896
C910-RV,8,200,92.321,869.7304064616391
C910-RV,8,256,92.449,868.5294413767195
C910-RV,8,300,92.48,863.2318218144134
C910-RV,8,400,92.54,860.4673016764394
C910-RV,8,512,92.541,863.5210639488479
C910-RV,16,100,95.234,641.1400685210011
C910-RV,16,128,95.712,598.6050611742868
C910-RV,16,200,96.171,543.6289406302834
C910-RV,16,256,96.329,524.128822037024
C910-RV,16,300,96.39,509.0918785577401
C910-RV,16,400,96.442,492.5730036939735
C910-RV,16,512,96.469,483.98127068900527
C910-RV,32,100,96.156,541.764172336894
C910-RV,32,128,96.849,488.8621129675435
C910-RV,32,200,97.557,416.54031153817215
C910-RV,32,256,97.816,383.8677749266055
C910-RV,32,300,97.92,365.63176839729164
C910-RV,32,400,98.067,338.12362564980907
C910-RV,32,512,98.139,317.319326412905
C910-RV,64,100,96.391,507.53936368454345
C910-RV,64,128,97.059,447.68708651900494
C910-RV,64,200,97.879,374.77559078687193
C910-RV,64,256,98.179,339.71423953358305
C910-RV,64,300,98.319,321.70653464282003
C910-RV,64,400,98.546,295.7294872105168
C910-RV,64,512,98.69,269.7689719821495
C910-RV,128,100,97.076,446.41816094866675
C910-RV,128,128,97.076,452.5816507915713
C910-RV,128,200,97.896,370.5964305809738
C910-RV,128,256,98.214,339.7843326248979
C910-RV,128,300,98.366,316.52765827007636
C910-RV,128,400,98.599,284.29274716458195
C910-RV,128,512,98.751,261.74848608636313
C910-RVV,8,100,91.539,1100.2495250106983
C910-RVV,8,128,91.949,1079.8332055530707
C910-RVV,8,200,92.321,1051.3761891790978
C910-RVV,8,256,92.449,1058.7609543448345
C910-RVV,8,300,92.48,1040.1852296160992
C910-RVV,8,400,92.54,1036.4552684316864
C910-RVV,8,512,92.541,1036.874532724306
C910-RVV,16,100,95.234,773.4397532157283
C910-RVV,16,128,95.712,731.5427669045816
C910-RVV,16,200,96.171,658.8797483772919
C910-RVV,16,256,96.329,630.3439795390344
C910-RVV,16,300,96.39,621.1667980788618
C910-RVV,16,400,96.442,600.3987595761627
C910-RVV,16,512,96.469,587.7299918924194
C910-RVV,32,100,96.156,656.6272393688809
C910-RVV,32,128,96.849,590.575472281651
C910-RVV,32,200,97.557,504.6531343043347
C910-RVV,32,256,97.816,469.66588710369155
C910-RVV,32,300,97.92,446.2494320595222
C910-RVV,32,400,98.067,410.78272215440404
C910-RVV,32,512,98.139,386.2265317197941
C910-RVV,64,100,96.391,609.7822226979237
C910-RVV,64,128,97.059,547.7544194952717
C910-RVV,64,200,97.879,457.06345869060465
C910-RVV,64,256,98.179,413.69540826402306
C910-RVV,64,300,98.319,393.2356025580183
C910-RVV,64,400,98.546,354.20775981581943
C910-RVV,64,512,98.69,328.57489157785164
C910-RVV,128,100,97.076,540.749802252778
C910-RVV,128,128,97.076,548.1955098892666
C910-RVV,128,200,97.896,449.3744766413373
C910-RVV,128,256,98.214,406.2106399928806
C910-RVV,128,300,98.366,382.7503675914386
C910-RVV,128,400,98.599,345.473939105218
C910-RVV,128,512,98.751,316.84733565785325
